级别,词,读音,频次,释义,用法/例句
Level 1,治疗,zhi4 liao2,1076,1.用药物﹑手术等消除疾病。,（请据《现代汉语词典》等辞书补充）
Level 1,脏腑,zang4 fu3,940,1.中医总称人体内部的器官。心﹑肝﹑脾﹑肺﹑肾为五脏﹐胃﹑胆﹑三焦﹑膀胱﹑大肠﹑小肠为六腑。,（请据《现代汉语词典》等辞书补充）
Level 1,疾病,ji2 bing4,909,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,阴阳,yin1 yang2,896,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,气血,qi4 xue4,836,"1.中医学名词。指人体内的气和血。中医学认为气与血各有其不同作用而又相互依存﹐以营养脏器组织﹐维持生命活动。 
2.气性。 
3.精神﹐精力。参见""气血方刚""。",（请据《现代汉语词典》等辞书补充）
Level 1,功能,gong1 neng2,732,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,不足,bu4 zu2,624,"1.不充足，不够。 
2.不可，不能。 
3.不值得，不必。 
4.不难。 
5.犹不尽。 6.犹不致。",（请据《现代汉语词典》等辞书补充）
Level 1,津液,jin1 ye4,623,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,主要,zhu3 yao4,615,"1.把握事物的关键。 
2.指事物中关系最大，起决定作用的。",（请据《现代汉语词典》等辞书补充）
Level 1,治法,zhi4 fa3,586,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,病机,bing4 ji1,575,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,作用,zuo4 yong4,560,①对事物产生影响作用┝Γ外界事物作用于人的感觉器官，从而产生印象。②对事物产生的影响、效果副作用｜消极作用｜带头作用。③用心，用意他的话是有作用的。,（请据《现代汉语词典》等辞书补充）
Level 1,饮食,yin3 shi2,551,"1.吃喝。 
2.指饮料和食品。",（请据《现代汉语词典》等辞书补充）
Level 1,症状,zheng4 zhuang4,548,1.有机体因发生疾病而表现出来的异常状态﹐如发热﹑头痛﹑咳嗽等。,（请据《现代汉语词典》等辞书补充）
Level 1,不同,bu4 tong2,524,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,临床,lin2 chuang2,502,1.医学上称医生为病人诊断和治疗疾病。原以诊治必临病床﹐故名。,（请据《现代汉语词典》等辞书补充）
Level 1,导致,dao3 zhi4,501,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,表现,biao3 xian4,500,显露出来表现得很勇└遥良好表现｜故意表现。,（请据《现代汉语词典》等辞书补充）
Level 1,出现,chu1 xian4,493,"1.显露出来;呈现。 
2.产生出来。",（请据《现代汉语词典》等辞书补充）
Level 1,人体,ren2 ti3,493,1.人的身体。,（请据《现代汉语词典》等辞书补充）
Level 1,变化,bian4 hua4,477,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,脾胃,pi2 wei4,475,比喻脾气、习性这篇文章正合他的脾胃｜两人脾胃相投。,（请据《现代汉语词典》等辞书补充）
Level 1,为主,wei2 zhu3,473,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,发生,fa1 sheng1,468,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,湿热,shi1 re4,463,"1.潮湿闷热。 
2.中医称温病的一种。表现为发热﹑头痛﹑身重而痛﹑腹满少食﹑小便短赤而黄﹑舌苔黄腻等。",（请据《现代汉语词典》等辞书补充）
Level 1,素问,su4 wen4,461,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,不能,bu4 neng2,456,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,病证,bing4 zheng4,418,1.病症。,（请据《现代汉语词典》等辞书补充）
Level 1,阴虚,yin1 xu1,404,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,活动,huo2 dong4,396,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,体质,ti3 zhi4,394,人的身体质量，即人体机能和形态相对稳定的特征。包括身体形态发育状况；各器官系统生理机能的水平；身体素质和运动能力的水平；对外界的适应能力和抵抗疾病的能力；心理素质等。是遗传变异和后天锻炼的结果。,（请据《现代汉语词典》等辞书补充）
Level 1,化痰,hua4 tan2,393,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,气虚,qi4 xu1,393,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,清热,qing1 re4,392,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,头痛,tou2 tong4,390,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,常用药,chang2 yong4 yao4,390,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,虚实,xu1 shi2,388,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,具有,ju4 you3,384,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,经络,jing1 luo4,381,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,由于,you2 yu2,373,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,形成,xing2 cheng2,371,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,情志,qing2 zhi4,370,1.感情志趣。,（请据《现代汉语词典》等辞书补充）
Level 1,病变,bing4 bian4,365,1.病理变化。由疾病引起的细胞或组织的变化。,（请据《现代汉语词典》等辞书补充）
